iso3,month,capable_pct,preferred_pct,samples
BLR,2019-03,0.03,0.02,307922
BLR,2019-04,0.04,0.04,252332
BLR,2019-05,0.03,0.03,233010
BLR,2019-06,0.02,0.01,546834
BLR,2019-07,0.02,0.02,695102
BLR,2019-08,0.02,0.02,678798
BLR,2019-09,0.02,0.01,602581
BLR,2019-10,0.01,0.01,762168
BLR,2019-11,0.01,0.01,937091
BLR,2019-12,0.02,0.02,715140
BLR,2020-01,0.02,0.02,668397
BLR,2020-02,2.56,2.54,748337
BLR,2020-03,6.27,6.25,836549
BLR,2020-04,6.45,6.43,832134
BLR,2020-05,7.71,7.68,757477
BLR,2020-06,8.72,8.69,747453
BLR,2020-07,9.4,9.37,654275
BLR,2020-08,8.48,8.43,820678
BLR,2020-09,9.1,9.05,955992
BLR,2020-10,8.82,8.78,1133718
BLR,2020-11,7.89,7.85,1157464
BLR,2020-12,7.94,7.91,1197104
BLR,2021-01,7.82,7.8,1015609
BLR,2021-02,8.29,8.27,1073968
BLR,2021-03,9.04,9.01,1213366
BLR,2021-04,9.27,9.23,1605861
BLR,2021-05,9.43,9.4,2452348
BLR,2021-06,9.89,9.85,2026280
BLR,2021-07,8.73,8.69,1739889
BLR,2021-08,8.17,8.14,1883526
BLR,2021-09,8.0,7.96,1476218
BLR,2021-10,7.73,7.68,979013
BLR,2021-11,8.23,8.18,845261
BLR,2021-12,8.17,8.1,850026
BLR,2022-01,7.49,7.44,1123323
BLR,2022-02,7.8,7.76,1183740
BLR,2022-03,8.51,8.45,1222359
BLR,2022-04,9.84,9.79,787650
BLR,2022-05,9.72,9.66,225472
BLR,2022-06,10.47,10.35,233976
BLR,2022-07,12.67,12.44,436120
BLR,2022-08,12.87,12.76,1285267
BLR,2022-09,13.17,13.1,1385701
BLR,2022-10,12.96,12.89,793621
BLR,2022-11,12.67,12.6,982863
BLR,2022-12,12.71,12.62,1293493
BLR,2023-01,13.87,13.76,958246
BLR,2023-02,13.6,13.47,1669021
BLR,2023-03,14.22,14.1,1644793
BLR,2023-04,14.1,13.78,1529563
BLR,2023-05,14.35,14.22,1265709
BLR,2023-06,13.32,13.2,1893028
BLR,2023-07,12.98,12.88,1743244
BLR,2023-08,12.83,12.76,1612480
BLR,2023-09,13.62,13.53,1151947
BLR,2023-10,13.52,13.43,1581917
BLR,2023-11,13.06,12.97,1561830
BLR,2023-12,13.54,13.45,1228756
BLR,2024-01,13.47,13.39,1150478
BLR,2024-02,13.89,13.78,1353352
BLR,2024-03,13.68,13.57,1527315
BLR,2024-04,14.56,14.45,2168951
BLR,2024-05,14.14,13.99,2643845
BLR,2024-06,14.88,14.75,2384683
BLR,2024-07,12.51,12.33,1862700
BLR,2024-08,11.83,11.57,2203799
BLR,2024-09,12.94,12.49,1713088
BLR,2024-10,13.11,12.84,2888470
BLR,2024-11,13.51,13.17,2135848
BLR,2024-12,15.72,15.27,2482541
BLR,2025-01,14.19,13.81,2491957
